,Sentence,encoded_label
126,내 고등학교 동창이 약속을 맨날 어겨! 지금도 또 기다리고 있어.,1
127,면접에서 또 떨어졌어!,3
128,그래도 그건 마약반에서 할 일이잖아! 경찰서에 연락하고 그냥 가자구!,4
129,응. 요즘들어 버려지는 유기견들 정말 많아지는 것 같아.,3
130,같이 알바하다가 알게된 사이였어.,3
131,경기가 안 좋아서 회사에서 인원 감축을 한대. 나 이번에 정리해고돼서 은퇴할 것만 같아서 불안해.,2
132,아기키우면서 큰 도움 될것같아요^^,5
133,무슨 밑밥?,4
134,그렇게 어떻게 벌레가 나올 수 있지?,6
135,내가 아플 때 연락도 없는 오래된 친구들에게 실망했어.,3
136,고맙습니다. 나중에 가운도 들고 오세요. 제가 빨아드릴게요.,4
137,아뇨. 근데 웬일이에요?,4
138,술 먹고 넘어졌어. 병원에 입원해 계셔.,1
139,"진짜 놀랐어. 토를 했으면 치워야지, 왜그럴까?",1
140,마음에 드세요?,4
141,외국에 살 것도 아니고 국어도 있는데 왜 구지 영어를 배워야하는지 모르겠어.,0
142,좋은 대통령이 있는 필리핀이 부럽다.,3
143,그녀와 이제 결혼하고 싶은데 막상 하려니 두려움이 몰려와.,2
144,나 좋아하는 사람에게 고백 받았어!,5
145,마지막으로 지원한 회사의 합격여부 연락을 기다리고 있어. 너무 초조해.,2
146,어어... 책상정리.,4
147,그럴 거면 경찰에 신고하면 될 텐데요.,4
148,박근혜 당장 꺼져라,1
149,내신 성적이 완전 망했어. 엄마에게 너무 미안해.,0
150,왜교부 다 짤라 빡통대가리새키들,1
151,전 그냥 보고싶다 한마디라도 좋은데...,3
152,내 적성에 맞는 일이 무엇인지 아직도 모르겠어.,0
153,아니 나는 줄긋는게 아니라... ,4
154,잘 때 비가 그렇게 많이 오는 줄도 몰랐지. 대피 문자도 못 보고 그냥 자버린 거야.,2
155,오늘 머리가 어지러워.,2
156,명절이나 휴일에는 급격히 버려지고 있대.,3
157,주책같아 보일까봐...,4
158,연애 기간이 길어서 이제 결혼할 때인데 혼란스러워.,2
159,하루하루 의미부여하는 나도참 문제많다...,3
160,아직 안 말했어. 부모님께 너무 죄송해.,3
161,좋은 생각이군요.,4
162,무슨 상관이야.,4
163,친구가 집 앞에 슈퍼를 갈 때도 나를 자꾸 데려가서 짜증나.,1
164,내가 갖고 싶은 거여서 진짜 좋아.,5
165, 넘 감사합니다.,5
166,어이없다~~아직도 분위기 모르는 인간들이 있구만~대가성없는 주식?,0
167,외모상으로 똑부러지고 야무질거같은 느낌드는 여자,5
168,난 기분 풀고 싶을 때 락음악을 들어.,1
169,건물 뒤요?,4
170,이걸 보고 웃는건 트럼프겠죠...,4
171,난 조인성의 영혼 없는 헛스윙 보면 한숨만 나오던대 ㅋ 언제 은퇴하려나,1
172, KBS는 정말 오랜만이라..,2
173,얼마 안됐어. 더 힘들어지겠지?,3
174,임시공휴일이 내일인데 퇴근시간인 지금까지 회사에서 공지가 없어.,2
175,중국에 핵 한번 안터지냐..,6
176,날씨가 심상치 않구나,0
177,이제 오랫동안 다닌 회사를 그만 정리하고 좀 쉬고 싶어. 어느 정도 연금도 준비해서 여유도 생겼고. 뭘 준비하면 더 좋을까.,5
178,저기!... 어제 사고 말예요... ,4
179,진짜 이러면 안되는거 아는데애기 아빠가 연락이 안되요,2
180,저. 평생 웬수. 보기만 해도 울화통 터져. 못 참겠어. 진짜...,4
181,가상과 현실세계 혼란,2
182,나랑 같은 시기에 들어온 직장동료가 너무 잘해서 질투나.,3
183,월급이요?,0
184,집안 사정이 괜찮은 애들이 취업 준비하는 거를 보면 부러워. 나는 집안 사정이 그렇게 좋은 편은 아니거든.,3
185,늦을 때마다 얘긴 해봤지. 하지만 미안하다고 하고 고치겠다고만 해. 그리곤 고쳐지지가 않는 거야.,1
186,함께 달리는 크루가 있어서 내가 지치고 힘들때 큰 힘이 되어 줘!,5
187,학교 다니면서 알게 된 친구지.,3
188,아직 모르셔. 아직 말씀 안드렸어.,4
189,응 그렇다고 하더라고.,4
190,돈 오천 때문에 어린애 유괴한 놈도 나쁜 놈이고.. 좁아터진 대한민국 땅덩어리에서 그 나쁜 놈 하나 못 찾아내는 니들은 더 나쁜 새끼들이고.,1
191,득이 될지 실이 될지...,2
192,부모님이 이혼하신대. 어떻게 해야 할지 모르겠어.,3
193,나이드니 수다도 느네요?,1
194,스포츠에 관심 있는 여잔 드문데요?,4
195,적절한 표현이야. 미칠락 말락..,4
196,노후준비가 안 되어 있어서 너무 두려워.,2
197,도대체 정확한 사실관계가 어케된건지참..,2
198,자녀들은 유학도 보냈지만 생각해보니 정작 나는 해외 한 번 못 가 봤어. 희생한 내 삶을 돌아보게 돼.,3
199,그렇게 자꾸 자기 마음 속이는거.. 피곤하지 않아요?,4
200,사상충에 걸렸대.,3
201,우리 신입은 오늘도 그냥 넘어가는 법이 없어.,1
202,군대 까는 몽 랩 부르더니니도 다를ㄱㅔ 없구나,6
203,"건강은 괜찮은데, 요새 집이 너무 추워서 곧 감기 걸릴 것 같애.",4
204,응. 꼭 그럴거야. 그렇게 신경 써줘서 고마워.,4
205,이번에 본 면접 또 떨어졌어.,3
206,옆집 할머니가 입원하신 병원 건물이 무너졌대. 너무 놀랐어.,3
207,이거 저 개 맞지?,4
208,아이폰6s 사용자인데 겨울에 추우면 배터리 40% 넘게 남았는데 전원이 꺼집니다!! 구매하실분들 이 증상 너무 심각합니다!! 고객센터에서는 알면서 as도 보상도 안하고 있습니다!! 아이폰6s만 그런게 아닙니다!!,6
209,그래서 아무것도 안하려고.,3
210,다시 수정해야 되는데. 시간이 없어.,4
211,당신 요즘 무슨 일을 하시고 다니는 거예요?,4
212,동생이랑?,4
213,어. 맞아. 앉아서 일해야 되는 건데 허리가 아파서 더 하지도 못하겠어.,3
214,"여행도 가고 싶은데, 지금은 갈 수가 없어.",5
215,딸내미가 요새 툴툴대며 얘기하네. 사춘기라 예민한가 봐.,1
216,"얼굴, 이름, 나이, 모텔 정보 다 공개하면 존나 웃기겠다잉~ㅋㅋㅋㅋ",6
217,나라꼴 잘 돌아간다... 성추행범이 큰소리치고,0
218,사무실에서 모든 사람들이 나를 일부러 무시하는 것 같아 화가 나.,1
219,맞아. 우리집 화장실은 환기가 될만한 곳이 없어.,1
220,나도 정말 따로 살고 싶다.,3
221,으이구 트럼프~~,6
222,이런 일이 자주는 없었고 최근들어 벌어진 일이야.,4
223,응. 거의 10분마다 하고 있는데 한 번도 안 받았어.,1
224,회사 안에 내 마음을 털어놓고 이야기할 사람이 없어서 스트레스를 풀 수가 없어.	,3
225,친구가 저에 대해 오해를 하는 것 같아요. 화해하고 싶은데 도와주세요.,5
226,"밤에 응급실에 갔는데, 결국엔 해피가 세상을 떠났어.",3
227,그래? 그럼 부서를 좀 바꿔보면 어때? '잡 마켓' 있잖아. 부서 이동을 원하는 직원들이 직접 희망 부서에 자기를 홍보하는 것 말이야.,4
228,하청.비정규 다 짜르고.인원감축. 세금지원 개꿀,1
229,내가 심한 교통사고가 났을 때 어머니는 밤새 나를 간호해주었어. 어머니께 정말 감사해.,5
230,저는 무릎 관절염때문에 못가지만 저희 아들과 딸은 처음으로 간다고 하네요.,4
231,몸이 아파서 불편했는데 간병인을 고용하니 마음이 편하고 놓인다.,5
232,당연하지! 엄청 비싼 향수야.,5
233,왜? 싫은가?,4
234,"네, 그 개발지에 대한 관심이 뜨거워요.",4
235,놀라운데. 비서가 사주는 밥을 다 얻어먹고.,4
236,속상해 죽겠어 술 드시고 오실 때마다 다치셔. 그래서 술 드시지 말라고 했는데도 말을 안 들어.	,3
237,영화까지 찾아주면 난 정말 고맙지.,3
238,엑?! 잠깐? 언니?！,4
239,언니는 나와 있을 때와 밖에서 하는 행동이 달라.,0
240,요즘 딸아이 때문에 힘이 들어. ,2
241,아직 엑셀에 익숙하지 않아서 젊은 직원의 도움을 받아야 한다니 나 스스로 한심해 죽겠어.,0
242,그림채가 따듯한 느낌~ 너무 좋아요,5
243,"엄마! 지금 딸 결혼식장에서 그게 할말이니? 정말 악담을 해라, 악담을!",3
244,30분은 기다린 거 같아. 도대체 언제 올까?,1
245,장마철이 시작되어 장대 같은 비가 하루 종일 쏟아지고 있어. 하지만 나는 폐지 줍는 일을 하기 때문에 나가야 해.,3
246,언니가 요리사인데 언니에게 요리를 배워서 웬만한 요리는 자신 있어.,5
247,그런 거 였어요?...,4
248,나를 따돌렸던 친구들이랑 오해를 거의 다 푼 것 같아.,5
249,월급이 적어서 대표님께 사직서를 낼지 고민이야.,2
250,밥은? 먹었어요?,4
251,못 끌어올립니다.,4
252,왔구나.,4
253,일요일휴무...하루에 9시간 일하고요...,3
254, 아 미칠거 같네요;;,2
255,어. 최악이야. 진짜 끔찍하지?,3
256,응. 혼자 있어.,2
257,나 한달동안 발에 불이 나도록 뛰어다니면서 한번 제대로 일해보려고! 거의 외근할거야.,4
258, 생일너무축하해요,5
259,친추좀 부탁...드려도 될까 하는것도 고민0,2
260,음악을 들으면서 기분 푸는게 나을 거 같아. 나는 신나는 음악이 좋더라.,1
261,나이를 먹으니 몸이 안 좋은 거 같아.,3
262,형한테 실망했어.,3
263,너무 많아.,1
264,당신은 꼭 한 개씩 놓고 다녀서 항상 불안하다니까요.,4
265,내가 집안일을 돕는다고 하면 친구들이 우습게 볼 것 같아 말을 안 했어.,1
266,내일 우리는 결혼식이라는 걸 해요.,4
267,청소 문제 때문에 자꾸 트러블이 생기고 다투게 되니까 내가 너무 스트레스 받아. 그래서 따로 사는 게 최선의 방법인 거 같아.,4
268,운동 부족에다가 노력을 안 해서 점점 비만이 되어가는 것 같아.,5
269,괌에는 주변작은섬에서 불법체류중인 현지원주민들이 많아서 강도많아요..,2
270,혹시 내 아들 여기 또 출근하고 있니?,4
271,나 좀 후회되는 일이 있어.,3
272,내가 지금 가 버리면 당신 난처해지잖아. 나 여기 당신 땜에 온 거야. 그러니까 고맙다고 한 마디만 해주면 되요. 괜히 화내지 말고.,4
273,한국에 이슬람사원 지으면 누군가가 불질러야 하고 대한민국 소방대원은 2시간후 출동 하던가 아예 하루 쉬도록 해야 한다,1
274,제대해서 좋아~~~~,5
275,"아, 문 좀 열어봐요 아 진짜 이러기예요?",1
276,제작년 가을부터시작했으니 내년은 4년차라고봐야지,4
277,내가? ,4
278,역시 국내 최고는 다르다 !!,5
279,그래. 완벽한 것 같애. 고마워.,4
280,잘 지냈어?,4
281,일제시대 너희나라로 꺼졍,1
282,갑자기 일찍 보자고 하는 건 어떤 일이 취소되었거나 이르게 끝났다는 거잖아.,4
283, 답장 더 이상 안하겠대요.,3
284,아니. 환기도 자주하는데 미세먼지때문인가? 곰팡이가 없어지질 않아.,1
285,신체검사를 했는데 최근 술도 많이 먹고 운동도 안했더니 지방함량이 높게 나왔어. 와이프에게 보여주기 창피한 결과야.,0
286,"자식 집에 갔다드니, 왜 오셨어요?",4
287,고등학교 친구야. 같이 살기전에는 몰랐었는데 진짜 해도해도 너무한다. 살기전에 각오는 했었거든. 근데 이정도일줄은 몰랐어.,1
288,"제가 체육대회 가겠다고 한 거, 설마 진짜라고 생각 하신 거예요?",4
289,언제까지 자식들 뒷바라지해야 할까? 너무 힘드네.,1
290,넌 왜 또 노크도 없이 문을 벌컥벌컥 열어?,4
291,이거 보이지?,4
292,아 이번이 공채 내 준비하던 가고싶었던 회사 진짜 마지막 기회였었는데 일단 다른데라도 한번 알아봐야 되지 않을까?,4
293,창피해 죽겠네! 배가 나와서 자꾸 사람들 시선이 신경이 쓰여.,0
294,요즘 우리 아들 걱정이 있는 것 같아 보여.,0
295,와 저런 또라이가 경찰을 하네....,0
296,항상 착하고 순수한 모습이 너무 좋습니다.,5
297,아파서 늘 집에 있지만 자식들과 남편 덕분에 걱정 없이 살고 있어.,5
298,거기 서 봐.,4
299,퇴근해.,4
300,어 난 처음들어보는 말인데?,4
301,요새 기분이 우울해서 집안에만 있었는데 너의 말대로 오늘은 산책 좀 해야겠어. 산책을 통해서 기분 전환 좀 하고싶어.,4
302,"우와. 오빠는 행복한 줄 알아요. 이깟 호떡에 감동 먹는 여자랑 사니까, 편하죠?",4
303,하필 확진자 엄청많이 나온 강남이야.,2
304,그냥.. 그렇게 하는 게 옳은 일 같았어요. ,4
305,대통령이 빨갱이 폭동을 청산한 사건,1
306,난 오늘도 익숙하게 남편과 아이들 밥 먼저 챙겨주고 남은 밥을 먹었어.,3
307,아뇨... 그냥.,4
308,도대체 노무현 빠는새끼는 무슨생각으로 빠는거냐?,1
309,어? 아니 뭐… 응.,4
310,"내가 볼 때 넌 배가 고픈게 아니라, 남자가 고픈거야,",4
311,어떤 책 읽어?,4
312,"저, 방금 지하철에 가방을 놓고 내렸는데요.",4
313,"호오, 헤어지면 외출시에 옷차림에 신경쓰고 다녀야 겠네요.",4
314,부모님이 형이랑 같이 있는 걸 못 보겠어.,3
315,언제까지 이런 말도안되는 일들로 우리 국민들이 뒷골잡아야 합니까?,1
316,이게 뭐야!,0
317,이게 무슨 나라 망신이냐,1
318,엄마 닮아 그렇지.,5
319,노인이라서 운동하기가 힘든데 근육량이 높아서 다행이야.,5
320,내가 동성애자라서 채용이 안 된다는 인사팀의 연락을 받았어. 일과는 상관없는데 너무 불쾌해.,1
321,고생했다. 형님이 다시 한 번 확인하라고 보냈어.,4
322,좋은 요리 쉬워서 감사합니다,5
323,얼마 전에 봤던 면접에서 떨어져서 너무 실망스러운 마음이 들어.,3
324,"지금 엘지에는 주전선수들이 부상으로 많이 빠져 있지만, 오히려 이런 기회가 더 두꺼운 선수층을 만들 수 있는 좋은 기회가 되는것 같습니다~!",5
325,세상에 하나뿐인 든든한 총괄리더 승철아생일 축하해.,5
326,어떻게 그렇게 한결같을 수 있는지..,0
327,주위에 사람들은 막 넘어지고 나랑 같이 밥먹던 친구는 다리를 다쳤어.,2
328,"어려울 거 없어. 그냥 가서 묻고, 듣고, 잡으믄 돼.",4
329,근데 어쩐 일이십니까?,4
330,어제 저녁에 엄청 무서웠어. ,2
331,오늘이 누나의 생일인데 잊고 있었어.,2
332,선생님이 친구들과 사이좋게 지내라고 얘기하는 걸 들으니 화가 나.,1
333,나 기다린거야?,4
334, 성격을다떠나서 절좋아하면 안그러는겟죠..?,2
335,잠깐，어이! 왜 내 이름이 나오는 거야!,0
336,동생이 자꾸 미워져서 걱정이야.,1
337,내가 선배한테 민망한 말 하나 할라그러는데. 그간 쌀쌀맞게 했던 거... 미안.,3
338,소금맛이 정석이지.,4
339,역시 만채오빨 알아보시는 분이 계시군여..^^,5
340,내가 기가 막혀서 그래요.!!,1
341,연극 연습하는 거잖아. 연습 안 할거야? 안 할거면 나 들어가고.,4
342,그냥 받아.,4
343,늙으면 죽어야지. 참 나 자신이 싫어.,3
344,당연히 이야기는 해봤지. 일이 힘드셔서 그러는 거라는데 달리 뭐라고하겠어.,3
345,만성 두통으로 순간 정신을 못 차린 사이에 교통사고가 나서 너무 당황했어.,0
346,"얘야, 아직 상견례도 안 했는데, 나 졸업은 하고 난 다음에·",4
347,"모르겠어. 그냥 뭘 해도 안되는 거 같고, 내 인생은 정말 왜 이러나 싶고.",3
348,나 이런 거 한번도 안 해봤어.,4
349,"어, 마무리할게 있어서. ",4
350,갑자기 해피의 목줄이 끊어지면서 해피가 막 달려나갔어.,0
351,네이버 뉴스댓글은 원래 백수들 놀이터아니냐?,6
352,여자를 차별하는건 이해가 되는데 인종을 차별하는건 이해가 안된다.,4
353,아내가 눈이 안 좋아 앞을 못 볼까 봐 걱정했는데 수술을 받으면 문제없대.,5
354,건강관리를 위해서 열심히 노력했거든. 근데 어제 건강검진표 결과가 안 좋게 나와서 억울해.,3
355,그것도 생각 중이야.,4
356,호구들나셨네 호구들 ㅋ하하하,6
357,마마무 왜케 좋지?ㅠ,5
358,가끔 정말 외로워.,0
359,니가 지금 무슨 짓을 하고 있는 줄 아니.. ,1
360,배도 안고파 밥도 먹기 싫고.,3
361,정말 지쳐가고 있어. 정말 갈데가 있으면 다른 회사로 가고 싶어.,6
362,짝퉁의 나라답군 ㅋㅋㅋㅋㅋㅋㅋㅋ,6
363,어떻게 좀 괜찮아?,4
364,문희준 슈퍼맨에나오는거아니냐,2
365,김태리 언니 너무 이뻐용!,5
366,배도 안 고파 이참에 성형수술이나 해볼까?	,4
367,집에 가는 중이야.,4
368,지금 모습에서 내 미래가 전혀 그려지지 않아 너무 슬퍼.,3
369,이쯤되면 진짜 어느 종교를 믿던간에 그들은 이 나라를 버렸나보다,3
370,언제까지 참아요?,4
371,"그래도 전에 신문에 보니까 커피가 심장에도 좋고, 건강에 나쁜 것 만은 아니라고 하던데…….",4
372,친한 친구와 애들처럼 몸싸움해서 당황스러워.,3
373,미식가네 부패직전 고기가 맛은최고인데,4
374,타협 없이는 정치라는 것이 되지 않습니다. 중요한 건 개인의 영달이 아니라 국익을 위한 타협이어야 한다는 거죠.,4
375,그때 후보연설에서 이런 얘기를 했어요. “저는 제 몸을 녹여서 여러분을 밝히는 촛불이 되고 싶습니다!”,4
376,그림 숙제 한다. 왜? 밥 먹으라고? 아직 고기냄새 안나는데?,4
377,"뭐야, 왜? 지금까지 밥도 못 얻어 먹고 다녀.",4
378,쉬는 시간 없다니까. 오늘도 회사에서 밤 새야 할 것 같은데.,3
379,집에 있긴 답답하고 속이 너무 불편해서 잠깐 나왔어 하지만 갈 데가 없다.	,3
380,직원들이 나랑 세대차이가 느껴지나 봐.,1
381,내가 마라톤을 이번에 기록을 또 신기록을 세웠어.,5
382,다시만나는 커플이라 더 조심스럽고 뭘해야될지도 모르겠어서 물어봐요,2
383,오늘 통장 정리를 했는데 잔고가 생각보다 훨씬 적어서 당황스러워.,0
384,응. 냄새 나 죽겠어.,6
385,아택시기사들 끼어들기갑,1
386,아님 말구.,4
387,기분좋게 나왔는데 비가 내리네요...이런,3
388,누구 사주를 받고 저럴까요?,0
389,이러면 면허 못따요. 밟아요 얼른. ,4
390,발견했다는 뉴스 후에 잠잠하네,4
391,질병이 있는데 돈까지 없어서 걱정이야.,2
392,나 이번에 승진한대.,5
393,너는 니가 알아서 먹어. 누가 먹지 마래!!!,0
394,개패듯이 패고싶다.,1
395,당연히 끝났지. 한 달 간 정말 힘들었어.,5
396,통장에 2만원 밖에 안 남았어.,4
397,성수대교처럼될까봐무서움,2
398,누구나 좋아 하고 호응 할 수 있는자리와 편안함이 묻어나는 사람 대 함이 참 멋지 십니다.,0
