,Sentence,encoded_label
83,그러고 싶은데 해피의 빈자리가 너무 커서 너무 힘들어.,3
84,그것도 아닌데…,4
85,말소리를 들어보니까 어리버리 그 공범놈이군. 콩알만한 간땡이로 뭘 하겠다구!!,4
86,해피의 목줄이 끊어지면서 해피가 막 달려나갔어!,0
87,동생이 건강에 좋다고 해서 갖다 준 버섯을 먹었는데 정확한 이름을 몰라서 불안해.,2
88,요즘은 잘 정돈된 단발머리가 유행이더라고요.,4
89,더치페이를 할 상황인데 현금이 없으면 카드로 결제해야 직성이 풀려.,0
90,아직 그렇게까지 덥지는 않잖아.,4
91,나를 헐뜯던 친구의 태도가 갑자기 돌변해서 당황스러워.,2
92,그게 아니구요. 실장님 어디 계세요? 실장님이랑 얘길 좀...,4
93,오랜만에 산책해서 해피가 많이 신났나봐.,0
94,면접 또 떨어졌어.,3
95,얘기하는 게 왠지 여동생이 주는 초콜릿은 가치가 없단 소리처럼 들리거든……?,1
96,"아니 아니. 그 녀석 한테 부탁받은 일인데, 인형 귀가 벌어졌으니까 고쳐달래.",4
97,나 짭새가 몰려 있길래 구경 다녀 왔어.,4
98,혼자 갇혔어. 나 너무 무서워.,2
99,구경을 30분 정도 했는데 구경하는 내내 왜 몰려있었는지 알 수가 없었어.,4
100,설마 나 혼자 타고 가라고 내버려 두진 않겠죠.,4
101,요즘 학교생활이 너무 구역질 나.,1
102,...어차피 범인 잡혀서 끝난 사건이야. ,4
103,왜 또!,1
104,진짜 얼마나 국민들을 좆 병신으로 보는거냐,1
105,그래. 너는 그래도 항상 내 편이니까. 말하기가 편하다. 그럴게.,4
106,남자친구가 이번에 프러포즈할 거 같아.,5
107,싸우는 거 싫으니까요. ,3
108,아들이 공부는 안하고 배우가 되겠대. 나는 아들이 의사가 되길 바라는데.,3
109,월급이 너무 적고 생활하기 바빠서 결혼은 꿈도 못 꾸고 있어. 평생 아등바등 혼자 살게 되는 걸까.,3
110,경기도에 있는 유기견보호소였는데 그 곳 아이들이 너무 처참했어.,3
111,알았어. 아. 나 여기도 다쳤는데.,4
112,"뭐, 사진 찍는 정도는 별 상관 없겠지. 그럼 다른 사람한테 찍어 달라고 부탁해야 하나?",4
113,조별 과제를 제대로 안 한 친구 이름을 일부러 누락시켰어.,1
114,황교활이가 힘좀쓰는모양새구만 역시 댓글 부대 사장놈답다,6
115,화도 냈지. 그런데 그때 뿐이야.,1
116,난 너무 좋은데?,4
117,결혼하면?,4
118,어이구… 얌마... 방한복 입은 뒷모습이야 다 똑같지... 아예 눈에 뵈는 건 전부 대장님이여... ,4
119,심수미 기자 진짜 대단 칭찬해,5
120,요새 운동해요.,4
121,그냥 지인이 추천해준 거 들고 있어.,3
122,인정하기 싫은데...,4
123,일이 많다는 핑계로 과장님이 나를 너무 부려먹어.,3
124,그런 거 같아. 근데 너무 걱정 돼.,3
125,"다 미안해, 다 내가 잘못했어, 정말 잘못했어!",4
126,어려서부터 알고 있던 친구들을 만나고 집으로 오는 길에 옛날 생각이 나서 마음 정말 흐뭇하고 따뜻했어.,5
127,아~ 그때 그 어리버리 언니구나.,4
128,"진지함……, 은 네게 바라면 안 되겠지……. 소통 능력도 부족하고……. 저기, 네 장점은 뭐니?",5
129,그 질문에 나도 대답 잘하고 싶다. 나 누구니..? ,4
130,김경숙인가 진짜 말 많더라나는 김경숙이 간사인줄 알았다,0
131,가져가.,4
132,멋져유~,5
133,내가 아픈데 내 자식들은 내 걱정은 커녕 온통 돈 걱정뿐이라는 게 배신감이 느껴져.,3
134,래미네이트를 했는데 잇몸이 약해져서 아파. 섣불리 선택한 것 같아 후회돼.,3
135,"담배 피우고, 술 마시고, 거기다 노름하면서 여자들 사귀면, 인생이 재미있어요?",4
136,새로 채용한 직원이 나와 업무를 같이 하게 되는 걸 보니 나를 대신하게 될 것 같아.,3
137,1시간은 넘은 것 같아 왜 안 오는지 조금은 걱정이 되네.	,2
138,그랬으면 좋겠다. 빨리 끝나야 될텐데. ,6
139,그래요? 직접 사는 것보다 얼마나 싼데요?,4
140,내가 싫어하는 친구가 아파서 걱정된다고 말했지만 사실 통쾌하게 생각해. 평소에 질투가 났나 봐.,3
141,어머! 괜찮니?,0
142,달리는 동안에는 너무 힘들었는데 결승선을 통과한 순간 기분이 엄청 좋았어.,5
143,심하게. 나 알지?,4
144,진짜 혼자 보기 아깝다.,4
145,연대애들 앞으로 이대 앞에서 잘난척 하지 말아라. 시위로 혁명을 이룬 이대와 모른척 할 일만 하는 연대는 비교 가치도 없다.,1
146,"어이, 너 왜 실내화를 내버렸냐?",4
147,이번에 지원한 회사에 또 떨어졌어. 어떡하면 좋지?,3
148,어떻게 돈을 안 쓰고 살아요.돈 없으면 죽는게 세상인데.,4
149,동네 사람들이 우리 부부가 가난하다고 놀림거리로 삼을 작정인가 봐.,2
150,"착한 척 하고 사니까, 좋니.",4
151,나는 다친데가 없어서 아프지 않지만 아픈데가 생기면 병원에 갈게.,4
152,와 이제 삔뜯을려고 온갖 다 떠돌아다니고 있구나,0
153,이 회사 들어올 때 정말 힘들게 들어왔잖아. 이직하는 건 좀 생각을 해봐야될 것 같애.,4
154,조금 아슬아슬한데요... 엄청 밟아야 되겠습니다요.,4
155, 어떻게 해야 잊을까요,3
156,우리 동생도 학교 다닐라구 왔다 왜. 근데 넌 여기서 뭐하냐? 수업시간에 소세지 먹다 걸렸구나?,4
157,응 아무리 청소해도 깨끗해지지가 않네.,1
158, 언제부터 그렇게 깨끗했다고 새삼스럽게,0
159,그시간에 시장은 대권놀음하고 댕김.,4
160,"둘다 부럽다. 여자는 이쁘고, 남자는 멋지고ㅋㅋ진짜 잘 어울림^^",5
161,"그래? 할 수 없지, 뭐.",4
162,젊어요? ,4
163,어디까지가 진실인가?한판에 9천원?OOO을 해요,1
164,내가 너 나올 때까지 기다린다 그랬잖아.,4
165,조여욕대위의 위증 조사해야 합니다.,1
166,"응, 다른 층 쓰고 너도 1층 화장실은 절대 가지 마.",4
167,다른건 몰라도 미국의 표현의 자유는 정말 부러웡,5
168,너 그거 엊그제 빤 거야.,4
169,그런 차원의 얘기가 아닌데?,4
170,블랙박스 영상은 왜 지웠을까..??,6
171,가족들 다 엄청 슬퍼하고 있어.,3
172,혈압약만 잘 챙겨 먹으면 여행을 가도 된다고 해서 지금 기분이 아주 좋아.,5
173,아무리 운동하고 좋은 걸 먹어도 유전병이 있으면 아무 소용이 없어.,2
174,나한테 할 얘기 없어?,4
175,약속할게.,4
176, 삼고초려 끝에 오케이해준 에릭 진짜ㅜㅜㅜㅜㅜ 완전 좋다!!,5
177,진짜 너무 답답해서 올려요ㅜㅜ,3
178,그럼 확인 후에 다시 보고 드리겠습니다.,4
179,면접도 떨어진 내가 무슨 밥이냐.,3
180,나라를 이꼴로 만들고도 해외여행만 쳐다닌 꼭두각시년이 뭘 잘했다고,1
181,설명을 해. 한강에는 왜 갔어? 거기서 왜 떨어졌어? 누가 떠민 거지?,4
182,땜질에 땜질을 거듭하면서 어딨는지 모르게 되는게 당연..,4
183,준비성도 좋으셔라.,4
184,이야〜 사람 많네.,4
185,정치인이라면 비판적인 문자도 받을 줄도 알아야 한다,4
186,있을 때는 몰랐는데 집에 남편이 없으니 허전해.,0
187,후거두 절미하고이 신발 꽃신으로 신겨주려는데 별론가요?,2
188,아빠 마중 나온다면서 어디에 있는데?,4
189,오늘 친구에게 비밀을 들었는데 당혹스러웠어.,2
190,요즘 자꾸 우울한데 그 이유를 잘 모르겠어.,2
191,그래서 열심히 청소를 하고 있는데 곰팡이가 안 없어져!,1
192,하고 싶은 진로가 있는데 잘 할 수 있을까?,3
193,난 요즘 양식이 그렇게 땡기더라고.,4
194,그냥요. 별 일 없어요?,4
195,"그럴 일이 좀 있었어. 아, 이거랑 똑같은 반지 여기서 떨어뜨렸거든. 같이 좀 찾아봐.",4
196,그렇게 다치고 하루 이틀만에 멀쩡하게 돌아다닐 수 없는 거죠?,4
197,그럴까 싶은데 요즘 같아선 무기력해서 아무것도 하기가 싫다.,3
198,나도 짜장면에서 벌레 나온 건 처음이었어. 너무 더러워서 못 먹겠어.,6
199,응. 그런 것 같아.,4
200,마음의 안식?,4
201,"교수님, 초기 인류가 이룩한 가장 큰 발견은 무엇이라고 생각하십니까?",4
202,그녀와 사귀자고 했는데 거부당했어. 세상에 나 혼자만 있는 느낌이야,3
203,싱글세 라는게 생긴다는이야기가사실인가요??,0
204,"그..그래, 잘 자라. ",4
205,못 배워서 그런 걸 어떡해요.,4
206,뭐? 우리 둘만 있지 그럼? ,4
207,남자친구가 나한테 숨기고 여행을 갔다 온 사실을 알게 되었어.,1
208,엉터리 약이로군…,4
209,완전 매국노다!,1
210,오늘 토요일이라 뭐 할건데?,4
211,"우리 아내가 손 잡아줄 거 같아서, 일부러.",4
212,와... 소름끼치게 볼거리 없겠네.. ㅠ,3
213,생활비 2만 원 가지고 2주 정도 버텨야 돼.,4
214,그럼. 잘 부탁해. 돌아가서 봐.,4
215,법을 잘 준수하는 합법적 이민자인 영주권자 문제 때문에 이런 기사가 나오는 것이다.,3
216,"아, 아아…… 빵이 살짝 목에 걸렸을 뿐이야…….",4
217,그럼 가자. ,4
218, 하야하자!!!,1
219,어제도 울 백선생님 순두부열심히 배우고 공부했지요,5
220,사정이 있어서 몸은 못 달려왔어도 마음은 항상 따라다녔어. 누나가 그걸 못 보고 괜히 오해한 거야.,4
221,미리 말 못해서 미안. 벌써 2개월이나 지났는데.,3
222,사원급이 직장생활에 대한 조언을 구하더라. 솔직히 별거 없는데.,2
223,이번에도 부장 승진을 못 했어. 나는 만년 과장인 걸까.,3
224,끝나면 1층에서 바로 헤어진다. 그리고 터미널에서 다시 만나 같이 올라간다.  ,4
225,아들에게 하고 싶은 말이 있는데 바쁜 일이 있다며 대화를 미루는 게 마음 아파.,3
226,오랜만에 친구들이랑 서해 바다에 가서 놀다 오기로 했어.,1
227,이참에 대청소를 하고 있어. 냄새가 안 빠져서!,6
228,그게 아니구요 ... 어차피 안 될 거 헛수고하느니...,3
229,아침에 큰 병원 들렸다가 지금 집에서 쉬고 있어.,4
230,요즘 따라 위가 더 자주 쓰린 것 같아.,2
231,도대체 이 남자와 왜 결혼을 한 걸까?,1
232,그래. 환기를 한번 해봐야겠어.,1
233,그냥 만약의 사태를 만들지 마!,1
234,이왕 절까지 왔는데 소원도 같이 빌면 훨씬 좋잖아!,5
235,솔직히 동사무소여자공뭔들보면 노가리까는거만 주구장창보는데 남자들이야 눈치 보면하지만 여자들은 자기기준이 옳다고 머리에 박혀있어서 쉽게 바뀌지않는다,6
236,오늘 발표날인데 연락이 안 오더라고. 그래서 전화 해봤더니 내 이름이 없대.,3
237,차두리 고마워~~~~~,5
238,나 지금 죽을 뻔 했어요. 진범이 나한테 총을 쐈어요.,2
239,그런가요? 그럼 먼저 한번 해 보세요. 저도 한 번 배워보고 싶어요.,4
240,내가 지금 너무 화가 난 상탠데 내 화를 잠재워줄 수 있는 영상이 있어?,1
241,운동을 하면은 조금 더 좋아질까? 기분이?,3
242,한효주랑 이종석 케미도 좋고 무엇보다 연기도 잘함 스토리는 물론이고 음향도 존좋..,5
243,요즘 부쩍 살이 쪄서 조금만 걸어도 숨이 차서 한심해.,0
244,그럼 내일 와.,4
245,아내의 수술비를 마련할 방법이 없어서 이판사판으로 샀던 로또가 당첨됐어!,5
246,술 마시고 계단 올라가다가 입원 중이셔.,3
247,그러고 싶지만 아주 중요한 일이라 미루기도 그렇구.,2
248,걱정되니까 얘기했었지. 하도 다치고 들어오시니까. 아 근데 말을 안 들어. 이제 다 포기 상태야.,6
249,아니요. 사람은 변하지 않습니다. 사랑이 변하죠.,4
250,야채는 한~개도 없는데……?,0
251,그러다 맘에 드는 데 발견하면 아예 거기서 살죠. 뭐. 매력적인 원주민 아가씨랑 사랑도 하고~,4
252,그게 왜 나 때문이야?,3
253,섭섭하겠다. 그 동네에서 오래 살았잖아.,3
254, 프로냐고??,0
255,그렇게 해요. 그럼 김 대리가 자세한 상황을 알려 주도록 하세요.,4
256,학교 다니기가 너무 힘들어.,3
257,대표님이 나만 빼고 팀원 모두에게 커피를 돌린 거 있지? 정말 당혹스러웠어.,0
258,애초에 내내 멀쩡하다가 하필 휴가 와서 갑자기 기억 상실증이라니 영화도 아니고 말이야.,4
259,뭘요? 둘이 사귀는 거요? ,4
260,사무실의 다른 사람들 모두가 변경해서 호환이 잘 되지 않거든요.,4
261,작가님 안에 계셨던 거 맞죠? 우리는 무시하시더니 그래도 비서는 들이시는구나~,4
262,아저씨 죄 지은 거 있으세요?,4
263,그래야겠어. 이러다간 정말 바보가 될 것 같아!,3
264,결국 처음부터 그 녀석을 응원할 마음 따윈 전혀 없었다는 뜻이잖아?,4
265,대학교 진학을 앞두고 남의 시선을 의식하게 돼.,0
266,애가 야무져야 혼자 산다고 해도 맘이 놓일텐데.,4
267,엄마가 제일 힘들어 하시는 것 같아.	,3
268,마눌...우리 약속 잊었어?,4
269, 신제품 사려고 미리 사전 예약까지해서 샀는데 핸드폰 결함이라고 교환까지했는데이번엔 중지라고??,0
270, 그네랑 니들돈으로 찍어라부역자넘들아!,6
271,아니 진짜 1%라도 맞는걸 우긴다면 좀 들어나 주겟는데. 이건 도대체가 왜 지들꺼라 하는지 모르겟네.. 쪽바리 ㅅㄲ들,1
272,아무튼 니 친구한테 말해. 다시는 나 찾아오지 말라고. ,4
273,너무 짜증나.,1
274,"생일 파티날 핸드폰을 여기다 두고 가셨는데, 당연히 주말에 찾아가셨을 줄 알았는데 안 찾아가시고, 오늘은 아예 출근도 안하시고, 연락은 안되고, ",4
275,고혈압 약을 먹고 있는 나에겐 자식들뿐인데 자식들이 병원비를 보태주지 않아서 너무 슬퍼.,3
276,진짜 집밥이 최고야.,4
277,다행히 몸은 괜찮아. 다친 데도 없어.,2
278,나 아빠와 갈등이 생겼어. 힘들어.,3
279,남편 사업 때문에 내 명의로 대출받았는데 못 갚는 바람에 내가 신용불량자가 될 거 같아 화가 나.,1
280,병원에 함께 가기로 한 친구가 전화를 안 받아.,1
281,아이가 학교 상담을 받았는데 가정폭력을 당하고 있다고 얘기했다고 하길래 너무 충격받았어.,3
282,직장에 새로운 신입사원이 입사를 했는데 알려줄게 너무 많아.,1
283,태풍은 어디로갔나요..,2
284,아깐 진짜 놀랬는데 지금은 많이 괜찮아졌어.,0
285,왜 이러긴요...바쁘신데 여긴 왜 왔어요. 아~ 망했다...,4
286,지난주부터 시작한 답답함언제 울고나니 좀 편안해졌다가다시 똑같은증상이 몇분지나지않아 아퍼오고그리고 참고 지금까지 있는데어떻게해야한지 뭘해야한지 모른다...,2
287,중학생 아들이 게임만 하고 나하고 대화를 하려고 하지 않아.,3
288,자식들이 내가 돈을 어디에 쓰는지 감시하기 위해 현금대신 카드를 주었어. 조금 힘들어.,1
289,나예요.,4
290,그냥 여기저기에서 좀 빌려서 시작했습니다.,4
291,3년 전이라 기억도 잘 안난다. 아마 소개받아서 만났을 거야.,3
292,나 드디어 프로젝트 끝났어!   ,5
293, 굳이 이틀전 부재중을 이제야 물어보는 이유는 뭘까요..,2
294,부인 친구 남편 중에 한 사람이 알츠하이머에 걸렸다고 하네. 나랑 동갑이래.,2
295,머리 하느라 구조를 못한게 아니다..애초에 구조할 맘이 1도 없었기 때문에 머리 할 여유가 있었던거다..그게 더 무섭다...,1
296,나가긴 뭘 나가! 빨리 와서 앉아!,1
297,미안하고..,3
298,이번에도 승진 못 했어. 내가 이 회사에서 얼마나 많은 일을 했는데.,3
299,나랑 친하게 지냈었던 친구가 있어. 그 친구가 나한테 사기를 쳤어.,1
300,아니. 나와 자네는 많이 닮았다 싶어서 말일세.,4
301,응. 정말 완전히 다 끝났어. 행복해.,5
302,학업에 노력을 쏟았는데 가장 성적이 안나와서 좌절스러워.,1
303,돈이 없으니 친구들도 마음껏 만날 수 없다는 게 슬퍼.,3
304,노래가 있어? 그럼 같이 한번 들어볼래?,3
305,지금 두 달 정도 되었어. 너무 힘들고 마음이 아파.,3
306,글쎄. 무슨 일인지는 잘 모르겠어.,4
307,아님 내가 신기하게 생겨서 그런거냐??,0
308,완전히 끝나버렸어.,5
309,딸과 대형마크에 가는데 작업복 차림인 내가 부끄러울까 봐 일부러 조금 떨어져서 걸었어.,0
310,요즘 일은 그냥 그럭저럭 할만해.,4
311,나도 늙긴 늙었나. 산 좀 타다 보니 별 증상도 나오고.,0
312,진짜. 이 극심한 스트레스를 견뎌준 내 몸이 대견할 정도라니까!!!,4
313,아니긴 임마. 쌍판에..다 써 있는데...,4
314,아내가 아픈데 자꾸 나한테 신경질을 내니까 나도 너무 지쳐.,2
315,어 오늘 발표했으니까 이제 완전히 완전히 끝났어.,5
316,"남자가 여잘 상대로 기를 쓰며 이길려고 하는 거, 좀 창피하지 않아요? ",4
317,그럼요. 제가 거짓말을 해서 뭐해요.,4
318,"아, 그래요? 뭐 할 거예요?",4
319,가난한 대학생은 웁니다ㅠ,3
320,캐리녀 재밌어용!!,5
321,지금 뭐하는 거야?! 여기 사건현장인 거 안 보여? 개떼처럼 뭐하는 거야? 현장 훼손시킬 거야?,4
322,입원 중인 병원에서 장기자랑을 했는데 내가 거기서 상품을 받았어. 살다 보니 별 일이 다 있네.,5
323,나 고기 좀 사줘. 중국 촬영가 있는 동안 고기를 한 번도 못 먹었어. 고기가 너무 먹고 싶어. 특히 소. 소가 먹고 싶어.,4
324,저런 꼴뚜기들이 응원해줘서 야당은 좋겠다.,6
325, 안하는게 나을까요??,2
326,"흉 생기면 책임져야죠, 뭐.",4
327,정말 가족이라지만 너무 해. 할머니는 맨날 내가 여자라는 이유로 공부한다는 나한테 집안일 시키면서!,1
328,너 매일 일한단 핑계로 이사님 만났어?,1
329,허억!,0
330,조정석 너무 좋다!!!!!앞으로도 응원할게요~,5
331,중국 진짜 지린다 ㅋㅋㅋㅋㅋ,0
332,집에 들어오면 항상 나를 반겨주던 해피가 집에 없으니까 너무 이상해. 해피의 빈 자리가 너무 크게 느껴져서 너무 슬퍼.,3
333,뭐하는 거예요!! 안돼요!!,1
334,어? 연습 잘하고 왔어?,4
335,어제부터 친구가 나에게 쌀쌀맞게 굴어.,2
336,>< 삼가고인의 명복을 빕니다ㅜㅜ ><,3
337,"어제 바로 했는데, 집에 있으면 자꾸 해피가 생각 나서 집에 못 들어가겠어.",3
338,그래서 여까지 나온 거 아니냐. 얼른 계산해라.,4
339,임플란트할때 마취해도 아프나요??,2
340,회계 관련 일을 하는 며느리에게 노후 자금을 맡기기로 했어.,5
341,으음，난 아이스커피로 하련다.,4
342,"네, 리스나 대출도 저희 회사 안에서 모두 다 도와드립니다.",4
343,다들 뭐해? 빨리 이 놈 치워!,1
344,대학 졸업반이 되니 동기들과 사이가 소원해졌어.,3
345,건강을 위해 친구와 술 안 마시기 내기를 하는 중인데 이틀밖에 안 지났는데 벌써 힘들어.,2
346,슬픈 특기구나……,3
347,나 정말 학교가 싫다.,5
348,무한도전에서 연기 넘 잘하셨어여...,5
349,……그래줄 수 있겠니?,4
350,"뭐? 이런... 야, 내 옷에 묻었어?",1
351,조선놈들 왜 오늘은 이슬람 타령 안하냐,6
352,우리나라 등산복이덜 화려하네,4
353,면 2주 넘게 남았는데 2만원밖에 없어.,3
354,나는 이 기업에서 꾸준히 일해서 정년퇴임을 할 수 있어.,5
355,혼자서 한 시간이 넘도록 기다리고 있어.,1
356,응. 고등학교 친구였어.,4
357,친한 친구가 내 남자친구에게 웃으면서 슬쩍 몸을 부딪히더라고.,1
358,허! ,1
359,중풍으로투명중이야.내가죽어선산에묻혀도찾아올사람이없을 것 같아 외롭고 슬프군.,3
360,집에 오면 나를 제일 먼저 반겨주던 해피가 없으니까 정말로 허전해. 해피가 너무 보고 싶어.,3
361,해오던 일이 진행이 안되니까 진짜 의욕이 사라지는 것 같아.,3
362, 아 진짜 어떻게하죠..,3
363,알았어. 몸에 좀 이상 있으면 병원 가봐야 되겠다.,4
364,"여기요, 언니.",4
365,나 오늘 이벤트에 당첨되었어.,5
366,늘 연아양 시합날 새벽기도를 하는 거 아시죠??,5
367,마치 노 고무현 대통령과 흡사하네요,4
368,짜장 왔습니다~ 어라? 사모님은 어디 가셨나?,4
369," 집도 멀고그래서 고작 하루 만날 위기상황에 처해있는데,저보다도 남자친구가..",3
370,"인생이 너무 길다는.. 생각해. 교통사고로 순식간에 눈감으면, 지금처럼 힘들진 않을 거란 생각해. ",4
371,오늘 친구랑 약속이 있었는데 나한테 말도 없이 다른 사람을 데리고 왔어. 그래서 조금 혼란스러웠어.,2
372,이영애 예전같지않네요,4
373,"응! ……아니, 도움 좀 됐으면 좋겠거든?",4
374,그래. 그러자. 배 고프다. ,4
375,호호호 해외여행 열대지방으로 가야겠네 모기가 무섭지 않아 ㅎㅎㅎ,5
376,난 잘못 한 거 없는데 노인정에 사람들이 이제 오지 말라잖아.,1
377,그저께 밤에 갑자기 의식을 잃더라고. 그러더니 어제 끝내 눈을 감았어.,3
378,친구가 소개시켜줬어.,3
379,그게 효과가 있을까?,1
380,아내가 술 좀 줄이라고 잔소리해서 또 싸웠어.,1
381,사장님 앞에서 발표를 했는데 너무 떨려서 제대로 발표를 못했어.,0
382,김 대리는 나에게만 거짓으로 보고를 하고는 일을 진행해서 너무 화가 나.,1
383,나도 그럴려고 생각 중이야. 집에서 할게 없어.,1
384,어? 괜찮은 거 같은데? 아…!,4
385,내생에봄날 에서 여주 했었자나요 잘했었어요 잘할거예요,5
386,아내가 늦둥이를 임신했다고 하네. 기쁜 축복이지만 내가 몇 살까지 돈을 벌어야 하는지 모르겠군.,2
387,그래..고맙다..,4
388,촛불을 들자,4
389,정부는 아무것도 하지 않을겁니다.,1
390,테임즈가 최형우보다는 나은데 왜 20억 투자가 안된다는거지?,0
391,누가봐도 메달 가능성 전혀 없겠는데 웃고간다 푸하하하하,5
392,유명한 유튜버들이 다들 뒷광고를 하고 있었던거야.,1
393,내 기분과 달리 가을하늘은 참 이쁘기도 하네.,3
